CD-Uberlândia;Desktop;HP;HP Compaq 8100 Elite SFF Brazil PC;103096;BRG113F281;EM USO;rede;N/A
CD-Uberlândia;Tablet;Multilaser;M7s Dual Core;S/N;.140801015059942;Backup;Estoque TI;Backup
CD-Uberlândia;Tablet;Samsung;SM-T230;S/N;R52GA10GSFB;Danificado;Estoque TI;Sucata
CD-Uberlândia;Tablet;Multilaser;M7s;S/N;S/N;Backup;Estoque TI;Backup
CD-Uberlândia;Tablet;Multilaser;M7s;S/N;S/N;Backup;Estoque TI;Backup
CD-Uberlândia;Tablet;Multilaser;M7s;S/N;S/N;Backup;Estoque TI;Backup
CD-Uberlândia;Tablet;Multilaser;M7s;S/N;S/N;Backup;Estoque TI;Backup
CD-Uberlândia;Tablet;Multilaser;M7s;S/N;S/N;Backup;Estoque TI;Backup
CD-Uberlândia;Tablet;Multilaser;M7s;S/N;S/N;Backup;Estoque TI;Backup
CD-Uberlândia;Tablet;Multilaser;M7s;S/N;S/N;Backup;Estoque TI;Backup
CD-Uberlândia;Tablet;Multilaser;M7s;S/N;S/N;Backup;Estoque TI;Backup
CD-Uberlândia;Tablet;Multilaser;M7s;S/N;S/N;Backup;Estoque TI;Backup
CD-Uberlândia;Tablet;Multilaser;M7s;S/N;S/N;Backup;Estoque TI;Backup
CD-Uberlândia;Tablet;Multilaser;M7s;S/N;S/N;Backup;Estoque TI;Backup
CD-Uberlândia;Tablet;Multilaser;M7s;S/N;S/N;Backup;Estoque TI;Backup
CD-Uberlândia;Tablet;Multilaser;M7s;S/N;S/N;Backup;Estoque TI;Backup
CD-Uberlândia;Tablet;Multilaser;M7s;S/N;S/N;Backup;Estoque TI;Backup
CD-Uberlândia;Tablet;Multilaser;M7s;S/N;S/N;Backup;Estoque TI;Backup
CD-Uberlândia;Tablet;Multilaser;M7s;S/N;S/N;Backup;Estoque TI;Backup
CD-Uberlândia;Tablet;Multilaser;M7s;S/N;S/N;Backup;Estoque TI;Backup
CD-Uberlândia;Tablet;Multilaser;M7s;S/N;S/N;Backup;Estoque TI;Backup
CD-Uberlândia;Tablet;Multilaser;M7s;S/N;S/N;Backup;Estoque TI;Backup
CD-Uberlândia;Tablet;Multilaser;M7s;S/N;S/N;Backup;Estoque TI;Backup
CD-Uberlândia;Tablet;Multilaser;M7s;S/N;S/N;Backup;Estoque TI;Backup
CD-Uberlândia;Tablet;Multilaser;M7s;S/N;S/N;Backup;Estoque TI;Backup
CD-Uberlândia;Tablet;Multilaser;M7s;S/N;S/N;Backup;Estoque TI;Backup
CD-Uberlândia;Tablet;Multilaser;M7s;S/N;S/N;Backup;Estoque TI;Backup
CD-Uberlândia;Tablet;Multilaser;M7s;S/N;S/N;Backup;Estoque TI;Backup
CD-Uberlândia;Tablet;Multilaser;M7s;S/N;S/N;Backup;Estoque TI;Backup
CD-Uberlândia;Tablet;Multilaser;M7s;S/N;S/N;Backup;Estoque TI;Backup
CD-Uberlândia;Tablet;Multilaser;M7s;S/N;S/N;Backup;Estoque TI;Backup
CD-Uberlândia;Tablet;Multilaser;M7s;S/N;S/N;Backup;Estoque TI;Backup
CD-Uberlândia;Tablet;Multilaser;M7s;S/N;S/N;Backup;Estoque TI;Backup
CD-Uberlândia;Tablet;Multilaser;M7s;S/N;S/N;Backup;Estoque TI;Backup
